rad,days,maxV
1,0,13
2,0,13
3,0,13
4,94,33
5,140,63
6,157,100
7,166,142
8,168,190
9,168,237
10,168,279
11,168,314
12,168,340
13,167,359
14,164,374
15,158,385
16,156,393
17,154,400
18,151,405
19,148,410
20,139,414
21,139,418
22,138,420
23,132,424
24,130,426
25,127,429
26,109,432
27,101,437
28,97,442
29,96,446
30,94,451
31,93,457
32,93,463
33,92,470
34,91,477
35,91,485
36,91,494
37,91,502
38,52,588
39,51,619
40,52,631
41,50,664
42,50,685
43,51,695
44,51,717
45,51,740
46,51,764
47,51,762
48,51,809
49,51,836
50,51,844
51,51,871
52,51,907
53,51,917
54,51,979
55,50,989
56,50,1000
57,50,1074
58,0,83
59,0,86
60,0,88
