,Experiment,rmse_V,corr_V,rmse_T,corr_T,Max_IceV,Duration
0,"{'DX': 0.003, 'TIME_STEP': 900}",0.431,1.0,0,0,1.703,44.885
1,"{'DX': 0.003, 'TIME_STEP': 1200}",0.162,,0,0,1.201,37.139
2,"{'DX': 0.003, 'TIME_STEP': 1500}",,,0,0,0.135,5.642
3,"{'DX': 0.0035, 'TIME_STEP': 900}",0.456,1.0,0,0,1.744,45.125
4,"{'DX': 0.0035, 'TIME_STEP': 1200}",0.222,1.0,0,0,1.348,39.319
5,"{'DX': 0.0035, 'TIME_STEP': 1500}",0.191,,0,0,0.794,33.906
6,"{'DX': 0.004, 'TIME_STEP': 900}",0.487,1.0,0,0,1.793,45.125
7,"{'DX': 0.004, 'TIME_STEP': 1200}",0.245,1.0,0,0,1.395,40.278
8,"{'DX': 0.004, 'TIME_STEP': 1500}",0.103,,0,0,1.13,38.663
9,"{'DX': 0.0045000000000000005, 'TIME_STEP': 900}",0.525,1.0,0,0,1.849,45.125
10,"{'DX': 0.0045000000000000005, 'TIME_STEP': 1200}",0.269,1.0,0,0,1.439,45.125
11,"{'DX': 0.0045000000000000005, 'TIME_STEP': 1500}",0.135,1.0,0,0,1.188,39.323
12,"{'DX': 0.005, 'TIME_STEP': 900}",0.57,1.0,0,0,1.912,45.125
13,"{'DX': 0.005, 'TIME_STEP': 1200}",0.295,1.0,0,0,1.485,45.125
14,"{'DX': 0.005, 'TIME_STEP': 1500}",0.152,1.0,0,0,1.231,39.878
15,"{'DX': 0.0055, 'TIME_STEP': 900}",0.486,1.0,0,0,1.76,45.125
16,"{'DX': 0.0055, 'TIME_STEP': 1200}",0.192,1.0,0,0,1.315,45.125
17,"{'DX': 0.0055, 'TIME_STEP': 1500}",0.063,1.0,0,0,1.055,41.788
18,"{'DX': 0.006, 'TIME_STEP': 900}",0.676,1.0,0,0,2.05,45.125
19,"{'DX': 0.006, 'TIME_STEP': 1200}",0.358,1.0,0,0,1.585,45.125
20,"{'DX': 0.006, 'TIME_STEP': 1500}",0.188,1.0,0,0,1.31,45.122
21,"{'DX': 0.006500000000000001, 'TIME_STEP': 900}",0.608,1.0,0,0,1.92,45.125
22,"{'DX': 0.006500000000000001, 'TIME_STEP': 1200}",0.271,1.0,0,0,1.435,45.125
23,"{'DX': 0.006500000000000001, 'TIME_STEP': 1500}",0.093,1.0,0,0,1.152,45.122
24,"{'DX': 0.007, 'TIME_STEP': 900}",0.796,1.0,0,0,2.199,45.125
25,"{'DX': 0.007, 'TIME_STEP': 1200}",0.435,1.0,0,0,1.694,45.125
26,"{'DX': 0.007, 'TIME_STEP': 1500}",0.237,1.0,0,0,1.396,45.122
27,"{'DX': 0.007500000000000001, 'TIME_STEP': 900}",0.859,1.0,0,0,2.277,45.125
28,"{'DX': 0.007500000000000001, 'TIME_STEP': 1200}",0.477,1.0,0,0,1.751,45.125
29,"{'DX': 0.007500000000000001, 'TIME_STEP': 1500}",0.266,1.0,0,0,1.441,45.122
30,"{'DX': 0.008, 'TIME_STEP': 900}",0.925,1.0,0,0,2.356,45.125
31,"{'DX': 0.008, 'TIME_STEP': 1200}",0.521,1.0,0,0,1.809,45.125
32,"{'DX': 0.008, 'TIME_STEP': 1500}",0.296,1.0,0,0,1.487,45.122
33,"{'DX': 0.0085, 'TIME_STEP': 900}",0.993,1.0,0,0,2.437,45.125
34,"{'DX': 0.0085, 'TIME_STEP': 1200}",0.566,1.0,0,0,1.868,45.125
35,"{'DX': 0.0085, 'TIME_STEP': 1500}",0.329,1.0,0,0,1.534,45.122
36,"{'DX': 0.009000000000000001, 'TIME_STEP': 900}",1.062,1.0,0,0,2.518,45.125
37,"{'DX': 0.009000000000000001, 'TIME_STEP': 1200}",0.613,1.0,0,0,1.928,45.125
38,"{'DX': 0.009000000000000001, 'TIME_STEP': 1500}",0.362,1.0,0,0,1.581,45.122
39,"{'DX': 0.009500000000000001, 'TIME_STEP': 900}",1.132,1.0,0,0,2.601,45.125
40,"{'DX': 0.009500000000000001, 'TIME_STEP': 1200}",0.662,1.0,0,0,1.989,45.125
41,"{'DX': 0.009500000000000001, 'TIME_STEP': 1500}",0.397,1.0,0,0,1.629,45.122
